"Year","Trade.Flow","Commodity.Code","Netweight..kg."
"2013","Re-imports","308",0
"2014","Exports","308",84601
"2014","Imports","308",8596658
"2014","Re-exports","308",0
"2014","Re-imports","308",0
"2015","Exports","308",5297
"2015","Imports","308",8224621
"2015","Re-exports","308",524
"2015","Re-imports","308",0
"2016","Exports","308",3568
"2016","Imports","308",9097390
"2016","Re-exports","308",0
"2016","Re-imports","308",0
"2017","Exports","308",10156
"2017","Imports","308",9814219
"2017","Re-exports","308",0
"2017","Re-imports","308",0
"2018","Exports","308",9432
"2018","Imports","308",9507283
"2018","Re-exports","308",0
"2018","Re-imports","308",0
"2019","Exports","308",7796
"2019","Imports","308",9268853
"2019","Re-exports","308",0
"2019","Re-imports","308",0
"2020","Exports","308",103263
"2020","Imports","308",8369983
"2020","Re-exports","308",0
"2020","Re-imports","308",0
